route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9948,15,1096704,501C ARCH ST-Hosp of Central CT-ClinicDr,0,83338,114178
9948,15,1096705,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83339,114177
9948,15,1096706,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83338,114177
9948,15,1096707,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83339,114177
9948,15,1096708,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83338,114177
9948,15,1096709,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83339,114177
9948,15,1096710,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83338,114177
9948,15,1096711,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83339,114177
9948,15,1096712,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83338,114177
9948,15,1096713,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83339,114177
9948,15,1096714,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83338,114177
9948,15,1096715,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83339,116478
9948,15,1096716,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83338,116478
9948,15,1096717,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83339,116478
9948,15,1096718,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83338,116478
9948,15,1096719,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83339,116478
9948,15,1096720,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83338,116478
9948,15,1096721,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83339,114179
9948,15,1096722,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83338,114179
9948,15,1096723,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83339,114179
9948,15,1096724,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83338,114179
9948,15,1096725,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83339,114179
9948,15,1096726,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83338,114179
9948,15,1096727,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83339,114179
9948,15,1096728,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83338,114179
9948,15,1096729,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83339,114179
9948,15,1096730,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83338,114179
9948,15,1096731,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83339,114179
9948,15,1096732,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83338,114179
9948,15,1096733,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83339,114179
9948,15,1096734,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83338,114179
9948,15,1096735,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83339,114179
9948,15,1096736,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83338,114179
9948,15,1096737,501 Arch St-Downtown New Britain-Dwntwn NB Sta,1,83339,114180
9948,16,1096738,501C ARCH ST-Hosp of Central CT-ClinicDr,0,83340,114178
9948,16,1096739,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83341,114177
9948,16,1096740,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83340,114177
9948,16,1096741,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83341,114177
9948,16,1096742,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83340,114177
9948,16,1096743,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83341,114177
9948,16,1096744,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83340,114177
9948,16,1096745,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83341,114177
9948,16,1096746,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83340,114177
9948,16,1096747,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83341,114177
9948,16,1096748,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83340,114177
9948,16,1096749,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83341,114177
9948,16,1096750,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83340,114177
9948,16,1096751,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83341,114179
9948,16,1096752,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83340,114179
9948,16,1096753,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83341,114179
9948,16,1096754,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83341,114179
9948,16,1096755,501 Arch St-Downtown New Britain-Dwntwn NB Sta,1,83341,114180
9948,16,1096756,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83341,114179
9948,16,1096757,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83340,114179
9948,16,1096758,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83340,114179
9948,16,1096759,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83341,114179
9948,16,1096760,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83341,114179
9948,16,1096761,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83340,114179
9948,16,1096762,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83340,114179
9948,16,1096763,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83340,114179
9948,14,1096764,501C ARCH ST-Hosp of Central CT-ClinicDr,0,83342,114178
9948,14,1096765,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83343,116478
9948,14,1096766,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83343,114177
9948,14,1096767,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83342,114177
9948,14,1096768,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83343,114177
9948,14,1096769,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83342,114177
9948,14,1096770,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83343,116478
9948,14,1096771,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83342,116478
9948,14,1096772,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83343,116478
9948,14,1096773,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83342,116478
9948,14,1096774,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83343,116478
9948,14,1096775,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83342,116478
9948,14,1096776,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83343,116478
9948,14,1096777,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83342,116478
9948,14,1096778,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83343,116478
9948,14,1096779,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83342,116478
9948,14,1096780,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83343,116478
9948,14,1096781,501 ARCH ST-Downtown New Britain-Dwntn NB Station,0,83342,116478
9948,14,1096782,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83343,114179
9948,14,1096783,501 Arch St-Downtown New Britain-Dwntwn NB Sta,1,83342,114180
9948,14,1096784,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83343,114179
9948,14,1096785,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83342,114179
9948,14,1096786,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83343,114179
9948,14,1096787,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83342,114179
9948,14,1096788,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83343,114179
9948,14,1096789,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83342,114179
9948,14,1096790,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83343,114179
9948,14,1096791,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83342,114179
9948,14,1096792,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83343,114179
9948,14,1096793,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83342,114179
9948,14,1096794,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83343,114179
9948,14,1096795,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83342,114179
9948,14,1096796,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83343,114179
9948,14,1096797,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83342,114179
9948,14,1096798,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83343,114179
9948,14,1096799,501 Arch St-Downtown New Britain-Dwntn NB Sta,1,83342,114179
